username,repo_name,stars,repo_url
bregman-arie,devops-exercises,22100,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,12900,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,12600,https://github.com/ramitsurana/awesome-kubernetes
pulumi,pulumi,12000,https://github.com/pulumi/pulumi
Azure,azure-quickstart-templates,11600,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,9500,https://github.com/mozilla/sops
caprover,caprover,8400,https://github.com/caprover/caprover
microsoft,computervision-recipes,8400,https://github.com/microsoft/computervision-recipes
google,go-cloud,8300,https://github.com/google/go-cloud
microsoft,azuredatastudio,6700,https://github.com/microsoft/azuredatastudio
infracost,infracost,6300,https://github.com/infracost/infracost
node-formidable,formidable,6200,https://github.com/node-formidable/formidable
midwayjs,midway,5500,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,4900,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4400,https://github.com/budtmo/docker-android
aquasecurity,tfsec,4300,https://github.com/aquasecurity/tfsec
nccgroup,ScoutSuite,4100,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4100,https://github.com/cloud-custodian/cloud-custodian
bridgecrewio,checkov,4000,https://github.com/bridgecrewio/checkov
Azure,autorest,3700,https://github.com/Azure/autorest
Azure,azure-sdk-for-net,3600,https://github.com/Azure/azure-sdk-for-net
simov,grant,3600,https://github.com/simov/grant
hashicorp,terraform-provider-azurerm,3300,https://github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3300,https://github.com/microsoft/SynapseML
Azure,azure-cli,3000,https://github.com/Azure/azure-cli
Azure,azure-powershell,3000,https://github.com/Azure/azure-powershell
Azure,MachineLearningNotebooks,2900,https://github.com/Azure/MachineLearningNotebooks
APIs-guru,openapi-directory,2700,https://github.com/APIs-guru/openapi-directory
mlabouardy,komiser,2700,https://github.com/mlabouardy/komiser
Azure,azure-sdk-for-python,2600,https://github.com/Azure/azure-sdk-for-python
